analyzer,symbol,atr_mult,rr_ratio,trades,wins,losses,win_rate,profit_factor,total_r,avg_r,error
volume,ADA-USD,2.5,1.5,81,25,56,0.30864197530864196,0.6800755562917401,-17.640931993610984,-0.21778928387174054,
volume,ADA-USD,2.5,2.0,81,22,59,0.2716049382716049,0.6978916396283041,-17.56486163507209,-0.21685014364286534,
volume,ADA-USD,2.5,2.5,81,22,59,0.2716049382716049,0.8612877131732541,-8.064861635072093,-0.0995661930255814,
volume,ADA-USD,2.5,3.0,81,20,61,0.24691358024691357,0.8150807552755566,-11.121215721282658,-0.13729895952200813,
volume,ADA-USD,3.0,1.5,81,25,56,0.30864197530864196,0.6803653750199176,-17.617443328009152,-0.217499300345792,
volume,ADA-USD,3.0,2.0,81,25,56,0.30864197530864196,0.8372435750359256,-8.970718029226742,-0.11074960529909558,
volume,ADA-USD,3.0,2.5,81,22,59,0.2716049382716049,0.7889157012895772,-12.267679767735546,-0.15145283663871045,
volume,ADA-USD,3.0,3.0,81,19,62,0.2345679012345679,0.7256482134282736,-16.767679767735547,-0.207008392194266,
volume,AVAX-USD,1.0,2.0,80,30,50,0.375,1.2,10.0,0.125,
volume,AVAX-USD,1.0,1.5,80,35,45,0.4375,1.1666666666666667,7.5,0.09375,
volume,AVAX-USD,1.0,2.5,80,29,51,0.3625,1.4215686274509804,21.5,0.26875,
volume,AVAX-USD,1.5,1.5,80,35,45,0.4375,1.1666666666666667,7.5,0.09375,
volume,AVAX-USD,1.0,3.0,80,27,53,0.3375,1.528301886792453,28.0,0.35,
volume,AVAX-USD,1.5,2.0,80,31,49,0.3875,1.2653061224489797,13.0,0.1625,
volume,AVAX-USD,1.5,2.5,80,26,54,0.325,1.2037037037037037,11.0,0.1375,
volume,AVAX-USD,1.5,3.0,80,23,57,0.2875,1.2041895637778663,11.63880513533839,0.14548506419172988,
volume,AVAX-USD,2.0,1.5,80,39,41,0.4875,1.4268292682926829,17.5,0.21875,
volume,AVAX-USD,2.0,2.0,80,33,47,0.4125,1.4042553191489362,19.0,0.2375,
volume,AVAX-USD,2.0,2.5,80,30,50,0.375,1.46695081499867,23.347540749933508,0.29184425937416886,
volume,AVAX-USD,2.0,3.0,80,29,51,0.3625,1.6398737479153713,32.63356114368394,0.4079195142960493,
volume,AVAX-USD,2.5,1.5,80,40,40,0.5,1.5,20.0,0.25,
volume,AVAX-USD,2.5,2.0,80,37,43,0.4625,1.6901868046499258,29.678032599946807,0.3709754074993351,
volume,AVAX-USD,2.5,2.5,80,36,44,0.45,1.9774283844306169,43.00684891494715,0.5375856114368394,
volume,DOT-USD,1.0,1.5,84,30,54,0.35714285714285715,0.8333333333333334,-9.0,-0.10714285714285714,
volume,DOT-USD,1.0,2.0,84,25,59,0.2976190476190476,0.847457627118644,-9.0,-0.10714285714285714,
volume,DOT-USD,1.0,2.5,84,21,63,0.25,0.8333333333333334,-10.5,-0.125,
volume,AVAX-USD,3.0,1.5,80,41,39,0.5125,1.508405396639454,19.827810468938708,0.24784763086173384,
volume,DOT-USD,1.0,3.0,84,19,65,0.2261904761904762,0.8769230769230769,-8.0,-0.09523809523809523,
volume,AVAX-USD,2.5,3.0,80,32,48,0.4,1.8723467770635676,41.87264529905126,0.5234080662381407,
volume,AVAX-USD,3.0,2.0,80,39,41,0.4875,1.7768737576773739,31.85182406477233,0.3981478008096541,
volume,AVAX-USD,3.0,2.5,80,35,45,0.4375,1.744221949293165,33.489987718192424,0.4186248464774053,
volume,AVAX-USD,3.0,3.0,80,31,49,0.3875,1.611823499961813,29.44560492584138,0.36807006157301725,
volume,DOT-USD,1.5,1.5,84,30,54,0.35714285714285715,0.8333333333333334,-9.0,-0.10714285714285714,
volume,DOT-USD,1.5,2.0,84,24,60,0.2857142857142857,0.8,-12.0,-0.14285714285714285,
volume,DOT-USD,1.5,2.5,84,21,63,0.25,0.826381551322489,-10.937962266683193,-0.13021383650813326,
volume,DOT-USD,2.0,1.5,84,29,55,0.34523809523809523,0.7909090909090909,-11.5,-0.13690476190476192,
volume,DOT-USD,1.5,3.0,84,18,66,0.21428571428571427,0.8039702686866183,-12.937962266683193,-0.15402336031765707,
volume,DOT-USD,2.0,2.0,84,25,59,0.2976190476190476,0.845588089318149,-9.047637022208562,-0.10770996455010193,
volume,DOT-USD,2.0,2.5,84,21,63,0.25,0.7897158883410782,-13.162558449809701,-0.15669712440249645,
volume,DOT-USD,2.0,3.0,84,17,67,0.20238095238095238,0.6531622246814962,-23.097372149543162,-0.27496871606599005,
volume,DOT-USD,2.5,3.0,84,24,60,0.2857142857142857,0.8827000771961427,-6.976451882568643,-0.08305299860200765,
volume,DOT-USD,2.5,1.5,84,33,51,0.39285714285714285,0.948812272646521,-2.583717545686321,-0.03075854221055144,
volume,DOT-USD,2.5,2.0,84,29,55,0.34523809523809523,0.9495510447535095,-2.7482235991092776,-0.03271694760844378,
volume,DOT-USD,2.5,2.5,84,25,59,0.2976190476190476,0.8359006134392151,-9.595766152435987,-0.11423531133852365,
volume,DOT-USD,3.0,1.5,84,33,51,0.39285714285714285,0.898744768509544,-5.1028698060178455,-0.060748450071641015,
volume,DOT-USD,3.0,2.0,84,29,55,0.34523809523809523,0.8307984012383585,-9.203908814758195,-0.10957034303283567,
volume,DOT-USD,3.0,2.5,84,28,56,0.3333333333333333,0.85958210471248,-7.778605203477356,-0.09260244289853994,
volume,DOT-USD,3.0,3.0,84,27,57,0.32142857142857145,0.7974955525852764,-11.420463135387417,-0.1359578944688978,
volume,ATOM-USD,1.0,2.0,79,34,45,0.43037974683544306,1.511111111111111,23.0,0.2911392405063291,
volume,ATOM-USD,1.0,1.5,79,37,42,0.46835443037974683,1.3214285714285714,13.5,0.17088607594936708,
volume,ATOM-USD,1.0,3.0,79,27,52,0.34177215189873417,1.5166427862078176,26.86542488280651,0.34006866940261404,
volume,ATOM-USD,1.0,2.5,79,30,49,0.379746835443038,1.530612244897959,26.0,0.3291139240506329,
volume,ATOM-USD,1.5,2.0,79,35,44,0.4430379746835443,1.5585670436788865,24.576949921871005,0.31110063192241777,
volume,ATOM-USD,1.5,1.5,79,39,40,0.4936708860759494,1.4625,18.5,0.23417721518987342,
volume,ATOM-USD,1.5,3.0,79,28,51,0.35443037974683544,1.547752692408443,27.9353873128306,0.3536124976307671,
volume,ATOM-USD,1.5,2.5,79,33,46,0.4177215189873418,1.7516728243885,34.576949921871005,0.43768291040343044,
volume,ATOM-USD,2.0,2.0,79,38,41,0.4810126582278481,1.815432010765933,33.432712441403254,0.42319889166333235,
volume,ATOM-USD,2.0,1.5,79,40,39,0.5063291139240507,1.5110951908052117,19.932712441403254,0.25231281571396524,
volume,ATOM-USD,2.0,3.0,79,26,53,0.3291139240506329,1.3031150888017322,15.95871152826783,0.20200900668693456,
volume,ATOM-USD,2.0,2.5,79,30,49,0.379746835443038,1.4176119472818505,20.316410812255288,0.25716975711715556,
volume,ATOM-USD,2.5,1.5,79,45,34,0.569620253164557,1.9513579397977234,32.346169953122605,0.409445189280033,
volume,ATOM-USD,2.5,2.0,79,38,41,0.4810126582278481,1.7932516818419535,31.483355570233286,0.3985234882308011,
volume,ATOM-USD,2.5,2.5,79,32,47,0.4050632911392405,1.4909966835981512,22.433141020846556,0.28396381039046276,
volume,ATOM-USD,2.5,3.0,79,30,49,0.379746835443038,1.4957504533309205,23.641836850322015,0.29926375759901286,
