symbol,timeframe,atr_mult,rr_ratio,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,expectancy,avg_win,avg_loss,diag_signals,diag_gate_passed,diag_guard_blocked,error
ADA-USD,1h,3.0,3.0,109,27,82,0.24770642201834864,0.8637690886508922,-1080.594516343328,-0.1080594516343328,-0.09654257898793357,0.15926048792000452,-9.913711159113127,253.75872951453383,96.73268552726518,4824,109,7233,
ETH-USD,1h,6.0,2.5,88,31,57,0.3522727272727273,1.0698128952945987,284.3182179028245,0.028431821790282447,0.050005328480113395,0.07109387438368737,3.230888839804777,140.5449267327596,71.44867562829346,5824,89,6616,
ETH-USD,1h,6.0,3.0,86,31,55,0.36046511627906974,1.0539657192913405,214.5913245055781,0.02145913245055781,0.03961985345451918,0.0785990545181904,2.495247959367134,135.1944869376286,72.29886855565294,5752,87,6620,
ADA-USD,1h,4.0,1.5,160,71,89,0.44375,1.1687056854893818,1509.7979351792928,0.15097979351792928,0.16154195929960563,0.1263895376406721,9.436237094870549,147.3112505480232,100.5539421767456,5820,161,6673,
ADA-USD,1h,4.0,2.0,138,54,84,0.391304347826087,1.1664477681519307,1368.6475221989185,0.13686475221989186,0.1403791797189317,0.11650069607535339,9.917735668108037,177.6172640045354,97.88910397673813,5755,139,6679,
ADA-USD,1h,3.0,2.0,176,65,111,0.3693181818181818,1.1110734217384177,1243.2485179553114,0.12432485179553114,0.11485410752415375,0.16351487622369074,7.063912033836992,191.32741392638755,100.8381386239629,7049,177,5885,
ADA-USD,1h,3.0,2.5,155,54,101,0.34838709677419355,1.2178559022798976,2286.1646584491227,0.22861646584491227,0.18162233099192135,0.15133571397686718,14.749449409349253,236.6684255373049,103.90030020361712,6936,156,5943,
ADA-USD,1h,4.0,3.0,124,44,80,0.3548387096774194,1.2599184897088178,2030.9546945934671,0.2030954694593467,0.17879758123594136,0.13337130125883906,16.378666891882837,223.7447396354789,97.67267311709502,5306,125,6921,
ADA-USD,1h,4.0,2.5,130,46,84,0.35384615384615387,1.1517813728692459,1223.4719082400607,0.12234719082400607,0.12182855677044564,0.12656409722749615,9.411322371077361,201.8309406800298,95.96132575049185,5648,131,6742,
ADA-USD,1h,2.0,1.5,370,156,214,0.42162162162162165,1.0835198305330296,1914.226439789758,0.1914226439789758,0.13582761867493132,0.14026617635142416,5.173584972404747,159.1900693313444,107.10011390607464,9438,371,4401,
AVAX-USD,1h,2.0,2.5,24,8,16,0.3333333333333333,1.2143788559135884,374.1861540933296,0.03741861540933296,0.07816162079666895,0.09561792499119574,15.591089753888824,264.9536913109372,109.09021102463534,627,24,9671,
AVAX-USD,1h,2.0,3.0,21,6,15,0.2857142857142857,1.1649413002532765,269.5465350838349,0.02695465350838349,0.05733235881293872,0.09561792499119567,12.835549289706535,317.2905457650262,108.94644930042132,609,21,9684,
ADA-USD,1h,5.0,2.0,121,47,74,0.3884297520661157,1.116914069956043,758.0285877613314,0.07580285877613314,0.0946222715499739,0.10235452628612846,6.264699072407595,154.07802725719438,87.61673909901104,5262,122,6957,
ADA-USD,1h,5.0,2.5,113,43,70,0.3805309734513274,1.2106550988255311,1289.5206111229127,0.12895206111229127,0.14451904527821255,0.10183287515871431,11.41168682409652,172.34881132112994,87.44968965265257,5117,114,7009,
ADA-USD,1h,5.0,1.5,126,56,70,0.4444444444444444,1.1724124591541547,1062.8015194116797,0.10628015194116797,0.13866347983077124,0.10128954159676362,8.434932693743505,129.05532186752615,88.06137864528259,5754,127,6670,
ADA-USD,1h,5.0,3.0,99,38,61,0.3838383838383838,1.127842444352336,641.5143950331985,0.06415143950331985,0.08403740008373063,0.10355334161883106,6.479943384173666,148.93479709730022,82.26242450269206,4940,100,7117,
ADA-USD,1h,6.0,1.5,115,47,68,0.40869565217391307,0.9932305716766453,-36.48925321911702,-0.0036489253219117016,0.003665805382646059,0.09656815163146418,-0.31729785407929967,113.91087866923372,79.26912574519274,5082,116,7115,
AVAX-USD,1h,2.0,1.5,128,47,81,0.3671875,0.8693862174936939,-1038.802295373469,-0.1038802295373469,-0.11780826443100822,0.19556766073491197,-8.115642932605176,147.11562022518316,98.18810427107496,4339,128,7574,
