symbol,w_trend,w_elliott,w_volatility,w_volume,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,error
BTC-USD,0.2,0.1,0.4,0.3,20,10,10,0.5,2.2432776503372835,1451.236189918316,0.1451236189918316,0.26843775316610835,0.05502930444131375,
BTC-USD,0.2,0.1,0.7,0.0,26,14,12,0.5384615384615384,2.228447475178801,1734.886200708208,0.1734886200708208,0.2975921353006296,0.04411540423707114,
BTC-USD,0.2,0.1,0.6,0.1,19,11,8,0.5789473684210527,2.6428229272315837,1470.2133810116939,0.14702133810116938,0.2907589255870418,0.021260742541552018,
BTC-USD,0.2,0.1,0.5,0.2,13,8,5,0.6153846153846154,3.9622625368967883,1661.9780724858701,0.16619780724858702,0.3360468964526929,0.02105287334126863,
BTC-USD,0.2,0.2,0.0,0.6,81,30,51,0.37037037037037035,1.2723124363707141,1586.2559519268907,0.15862559519268907,0.17104871030327026,0.16880322880318815,
BTC-USD,0.2,0.2,0.1,0.5,71,30,41,0.4225352112676056,1.599526859963486,2884.0085000671297,0.28840085000671295,0.2910604614333202,0.11103844755033222,
BTC-USD,0.2,0.2,0.2,0.4,54,22,32,0.4074074074074074,1.4801879493086387,1827.8054305437945,0.18278054305437946,0.22392373357357095,0.09823164962594536,
BTC-USD,0.2,0.2,0.3,0.3,44,17,27,0.38636363636363635,1.464314797039766,1465.1360649575654,0.14651360649575654,0.1974418420974809,0.12411300644372174,
BTC-USD,0.2,0.2,0.4,0.2,25,13,12,0.52,2.2042867461628126,1674.6940087538187,0.16746940087538187,0.2859859025443737,0.031773592075802055,
BTC-USD,0.2,0.2,0.5,0.1,29,15,14,0.5172413793103449,1.9734171363696196,1608.3300082666428,0.1608330008266643,0.2692006766456297,0.04411540423707107,
BTC-USD,0.2,0.2,0.6,0.0,31,15,16,0.4838709677419355,1.7925790448131664,1481.5881268346839,0.1481588126834684,0.24105411651227818,0.054504468701420665,
BTC-USD,0.2,0.3,0.0,0.5,73,28,45,0.3835616438356164,1.322853037047702,1687.2806672360875,0.16872806672360877,0.1879420044440822,0.14658921022380103,
BTC-USD,0.2,0.3,0.1,0.4,60,26,34,0.43333333333333335,1.6009382393990248,2430.8177532503632,0.24308177532503633,0.2735264104562688,0.10265599848426334,
BTC-USD,0.2,0.3,0.2,0.3,63,25,38,0.3968253968253968,1.3508995887009576,1595.1022077883717,0.15951022077883717,0.19117970041637858,0.12770080359477334,
BTC-USD,0.2,0.4,0.0,0.4,131,49,82,0.37404580152671757,1.358807592326775,3632.6911226967422,0.36326911226967423,0.2728613037676738,0.12736455991408505,
BTC-USD,0.2,0.3,0.3,0.2,61,24,37,0.39344262295081966,1.3226854601831102,1404.140999169893,0.14041409991698928,0.17447530747476137,0.12764183202457832,
BTC-USD,0.2,0.4,0.1,0.3,121,44,77,0.36363636363636365,1.3248617069580841,3120.1727529952896,0.31201727529952894,0.24816708838782806,0.08462984887471178,
BTC-USD,0.2,0.3,0.4,0.1,44,18,26,0.4090909090909091,1.414796495054576,1248.2712004703353,0.12482712004703353,0.17954463525973074,0.09141143911797148,
BTC-USD,0.2,0.3,0.5,0.0,29,12,17,0.41379310344827586,1.366006080774787,726.5269555197447,0.07265269555197447,0.13580739469229391,0.054504468701420665,
BTC-USD,0.2,0.4,0.2,0.2,120,43,77,0.35833333333333334,1.3146111331402328,3009.310311930916,0.3009310311930916,0.24115290366858166,0.0846298488747119,
BTC-USD,0.2,0.4,0.3,0.1,120,43,77,0.35833333333333334,1.3146111331402328,3009.310311930916,0.3009310311930916,0.24115290366858166,0.0846298488747119,
BTC-USD,0.2,0.4,0.4,0.0,117,41,76,0.3504273504273504,1.2680741371881024,2409.902055906019,0.2409902055906019,0.20470331252114488,0.0824656373057283,
BTC-USD,0.2,0.5,0.0,0.3,155,58,97,0.3741935483870968,1.3727931497559804,4550.91554989135,0.45509155498913495,0.3039261719320827,0.10182015809304248,
BTC-USD,0.2,0.5,0.1,0.2,140,50,90,0.35714285714285715,1.2901615129938582,3207.8977992712316,0.32078977992712315,0.24093874336599969,0.09299609038430001,
BTC-USD,0.2,0.5,0.2,0.1,139,50,89,0.3597122302158273,1.3034135540743692,3358.047671778959,0.33580476717789587,0.25026560193972464,0.09299609038429987,
BTC-USD,0.2,0.5,0.3,0.0,139,50,89,0.3597122302158273,1.3034135540743692,3358.047671778959,0.33580476717789587,0.25026560193972464,0.09299609038429987,
BTC-USD,0.2,0.6,0.0,0.2,155,57,98,0.36774193548387096,1.3285598689316438,3996.585814627828,0.39965858146278277,0.2760551421950155,0.10182015809304248,
BTC-USD,0.2,0.6,0.1,0.1,140,50,90,0.35714285714285715,1.2901615129938582,3207.8977992712316,0.32078977992712315,0.24093874336599969,0.09299609038430001,
BTC-USD,0.2,0.7,0.0,0.1,157,57,100,0.3630573248407643,1.3119507217791562,3860.636339746721,0.38606363397467214,0.26648373756439026,0.10182015809304248,
BTC-USD,0.2,0.6,0.2,0.0,139,50,89,0.3597122302158273,1.3034135540743692,3358.047671778959,0.33580476717789587,0.25026560193972464,0.09299609038429987,
BTC-USD,0.2,0.8,0.0,0.0,181,66,115,0.36464088397790057,1.3652023057086966,5208.083690594727,0.5208083690594727,0.315220316171985,0.10024314520686439,
BTC-USD,0.3,0.0,0.0,0.7,44,11,33,0.25,0.7030294878665476,-1045.8939013751242,-0.10458939013751242,-0.1781501872043506,0.1637810396353625,
BTC-USD,0.2,0.7,0.1,0.0,143,51,92,0.35664335664335667,1.2856473771049837,3294.6474788238957,0.32946474788238955,0.24381935334150842,0.0784697095490603,
