symbol,atr_mult,rr_ratio,filter_chop,long_only,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,buy_trades,buy_pnl,sell_trades,sell_pnl,error
DOT-USD,2.5,3.0,False,False,125,35,90,0.28,0.985149946682462,-132.7925000611558,-0.013279250006115581,0.002838355267812058,0.13966159260679684,65,-849.9286507612024,60,717.1361507000485,
DOT-USD,2.5,2.0,True,False,148,56,92,0.3783783783783784,1.119754938837654,1202.304701125042,0.12023047011250419,0.11821236366527546,0.11406529497793368,76,-290.02301057322757,72,1492.3277116982645,
DOT-USD,2.5,2.5,True,False,152,53,99,0.34868421052631576,1.2403773100344175,2639.6616157943045,0.2639661615794304,0.202365914072256,0.11396720188462593,76,1383.5881261685715,76,1256.0734896257452,
DOT-USD,2.5,3.0,True,False,117,35,82,0.29914529914529914,1.1043112256138163,911.4425661662572,0.09114425661662572,0.09000215705368358,0.1099781285588117,58,-206.48322930652947,59,1117.9257954727884,
DOT-USD,3.0,3.5,False,False,18,4,14,0.2222222222222222,0.6343029326395638,-487.0627442274017,-0.04870627442274017,-0.12197753550631037,0.08819785942353124,14,-287.8137839857661,4,-199.2489602416336,
DOT-USD,3.0,2.0,False,False,150,57,93,0.38,1.1333798597633578,1237.7439746652071,0.12377439746652072,0.12212002129034563,0.15435949146412692,81,758.4487810602475,69,479.2951936049516,
DOT-USD,2.5,3.5,True,False,116,34,82,0.29310344827586204,1.1586930184294124,1417.1242193758953,0.14171242193758954,0.12218464019538182,0.09698036201501763,59,-79.0533845875785,57,1496.1776039634608,
DOT-USD,3.0,2.5,False,False,116,35,81,0.3017241379310345,0.9104259384745401,-682.4873772693336,-0.06824873772693336,-0.05984364279264872,0.14675571098165666,59,-809.6485523384863,57,127.16117506915087,
DOT-USD,3.0,2.0,True,False,138,55,83,0.39855072463768115,1.2224246320584795,1910.798173856403,0.1910798173856403,0.1812121818286037,0.12776232095509799,72,1109.9274599873033,66,800.8707138690905,
DOT-USD,3.0,2.5,True,False,121,44,77,0.36363636363636365,1.2109929194365054,1633.5447469080373,0.16335447469080372,0.15602674750491488,0.10887643545905122,64,931.4294333663709,57,702.1153135416706,
DOT-USD,3.0,3.0,True,False,125,41,84,0.328,1.1629229003553008,1407.887405763142,0.1407887405763142,0.12717286807950456,0.09348934479769827,67,876.5071110499651,58,531.3802947131779,
DOT-USD,3.5,2.0,False,False,135,52,83,0.3851851851851852,1.1249962749418383,972.5952267571265,0.09725952267571265,0.10678356138658827,0.11073126303043432,73,-3.3056395480712073,62,975.9008663052018,
DOT-USD,3.5,2.5,False,False,125,44,81,0.352,1.1495499897290764,1137.4304309550134,0.11374304309550134,0.11576042524209944,0.09936162881665296,69,-123.66932247454014,56,1261.0997534295564,
