symbol,w_trend,w_elliott,w_volatility,w_volume,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,error
BTC-USD,0.2,0.1,0.0,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.2,0.1,0.1,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.2,0.1,0.2,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.2,0.1,0.3,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.2,0.1,0.4,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.2,0.1,0.5,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.2,0.1,0.7,0.0,65,23,42,0.35384615384615387,1.3300180480667656,1632.8754367803758,0.16328754367803758,0.18607813325267403,0.09177458519629249,
BTC-USD,0.2,0.1,0.6,0.1,47,18,29,0.3829787234042553,1.4439714694962704,1522.110593588095,0.15221105935880952,0.20048268150491774,0.06864404728707021,
BTC-USD,0.2,0.2,0.0,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.2,0.2,0.4,0.2,50,18,32,0.36,1.2990550346030338,1104.3020142023015,0.11043020142023015,0.15001774404971188,0.07886015137864857,
BTC-USD,0.2,0.2,0.5,0.1,65,23,42,0.35384615384615387,1.3300180480667656,1632.8754367803758,0.16328754367803758,0.18607813325267403,0.09177458519629249,
BTC-USD,0.2,0.2,0.1,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.2,0.2,0.6,0.0,63,23,40,0.36507936507936506,1.3973349420407932,1888.643659437932,0.1888643659437932,0.21204938574990173,0.07838195063614165,
BTC-USD,0.2,0.3,0.2,0.3,50,19,31,0.38,1.427017698522698,1554.6903636339212,0.15546903636339213,0.1992086640956788,0.07454870346774793,
BTC-USD,0.2,0.2,0.2,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.2,0.3,0.3,0.2,65,23,42,0.35384615384615387,1.3300180480667656,1632.8754367803758,0.16328754367803758,0.18607813325267403,0.09177458519629249,
BTC-USD,0.2,0.2,0.3,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.2,0.3,0.4,0.1,63,23,40,0.36507936507936506,1.3973349420407932,1888.643659437932,0.1888643659437932,0.21204938574990173,0.07838195063614165,
BTC-USD,0.2,0.3,0.5,0.0,63,23,40,0.36507936507936506,1.3973349420407932,1888.643659437932,0.1888643659437932,0.21204938574990173,0.07838195063614165,
BTC-USD,0.2,0.3,0.0,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.2,0.3,0.1,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.2,0.4,0.0,0.4,114,40,74,0.3508771929824561,1.2533693918779163,2263.1085569368697,0.22631085569368697,0.19803536818704162,0.07458223415453995,
BTC-USD,0.2,0.4,0.1,0.3,130,44,86,0.3384615384615385,1.2137020088503776,2209.0430066643003,0.22090430066643002,0.18407824986113475,0.10223521297268437,
BTC-USD,0.2,0.4,0.2,0.2,128,44,84,0.34375,1.2431783152180291,2477.4792369957304,0.24774792369957305,0.2027118224582553,0.08249635260317309,
BTC-USD,0.2,0.5,0.0,0.3,139,51,88,0.3669064748201439,1.3424379744558856,3889.326100839835,0.3889326100839835,0.2798002316372619,0.09299609038430029,
BTC-USD,0.2,0.4,0.3,0.1,128,44,84,0.34375,1.2431783152180291,2477.4792369957304,0.24774792369957305,0.2027118224582553,0.08249635260317309,
BTC-USD,0.2,0.4,0.4,0.0,128,44,84,0.34375,1.2431783152180291,2477.4792369957304,0.24774792369957305,0.2027118224582553,0.08249635260317309,
BTC-USD,0.2,0.5,0.1,0.2,139,51,88,0.3669064748201439,1.3424379744558856,3889.326100839835,0.3889326100839835,0.2798002316372619,0.09299609038430029,
BTC-USD,0.2,0.5,0.3,0.0,127,49,78,0.3858267716535433,1.5104434288719852,5074.9979712185595,0.507499797121856,0.3518138640009212,0.07838195063614159,
BTC-USD,0.2,0.6,0.1,0.1,127,49,78,0.3858267716535433,1.5104434288719852,5074.9979712185595,0.507499797121856,0.3518138640009212,0.07838195063614159,
