symbol,w_trend,w_elliott,w_volatility,w_volume,w_mean_rev,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,error
ETH-USD,0.0,0.2,0.4,0.2,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.4,0.0,0.6,0.0,63,20,43,0.31746031746031744,0.9463010797031608,-266.9038644790853,-0.02669038644790853,-0.018752594852526887,0.1312290225714092,
ETH-USD,0.0,0.2,0.4,0.4,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.2,0.6,0.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.2,0.6,0.2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.2,0.8,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.4,0.0,0.0,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.4,0.0,0.2,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.4,0.0,0.4,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.4,0.2,0.0,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.4,0.2,0.2,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.4,0.2,0.4,0.0,4,3,1,0.75,7.122452045661475,633.3104145741254,0.06333104145741254,0.17528501232510846,0.010344064924492158,
ETH-USD,0.0,0.4,0.4,0.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.4,0.4,0.2,0.0,1,1,0,1.0,0.0,243.53485839768473,0.024353485839768475,0.12152694344852857,0.0,
ETH-USD,0.0,0.4,0.6,0.0,0.0,2,2,0,1.0,0.0,491.03712598032143,0.049103712598032145,0.1718687467139761,0.0,
ETH-USD,0.0,0.6,0.0,0.4,0.0,76,23,53,0.3026315789473684,0.9217672306637948,-474.3013873975906,-0.047430138739759056,-0.03442948601329687,0.14595963667370124,
ETH-USD,0.0,0.6,0.0,0.0,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.8,0.0,0.2,0.0,80,24,56,0.3,0.9148175404620256,-544.998705709857,-0.054499870570985695,-0.039673076047819306,0.16222263224307304,
ETH-USD,0.0,0.6,0.0,0.2,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,1.0,0.0,0.0,0.0,216,78,138,0.3611111111111111,1.147089685974775,2404.8061451597787,0.24048061451597788,0.12488358261120563,0.1310806243982844,
ETH-USD,0.0,0.6,0.2,0.2,0.0,13,9,4,0.6923076923076923,4.1555274907038475,1450.2779835593228,0.14502779835593227,0.2465272156105053,0.021503318315641947,
ETH-USD,0.0,0.6,0.2,0.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.8,0.2,0.0,0.0,49,21,28,0.42857142857142855,1.5579928033207444,1720.9424890673945,0.17209424890673944,0.17606477786913804,0.0877480919056564,
ETH-USD,0.2,0.0,0.0,0.6,0.2,20,3,17,0.15,0.4123019488660332,-1038.3766166017067,-0.10383766166017067,-0.2150460818296405,0.1367816677123963,
ETH-USD,0.0,0.6,0.4,0.0,0.0,8,4,4,0.5,2.157658861366778,478.2201614265796,0.04782201614265796,0.11661596392494569,0.04130924725630957,
